FID,Relief,Conf_R,Slope_MIN,Slope_MAX,Slope_MEAN,LDfG_MAX,LDfG_MEAN,Depth_MIN,Depth_MAX,Depth_MEAN,prc_pit,pit_no,prc_vall,prc_holl,Area,Perimeter,MBG_Width,MBG_Length,MBG_Orient,MBG_W_L,Area_CH,CH_Score,Dissect,Depth_RAN,PP_Score,LDfG_VAR,QuLDfG_Ran
32,3.66,3.657592773,0.285819858,18.59550095,8.165918094,838.2000732,828.7878059,-1207.617676,-1182.928833,-1197.952844,4.339248216,1,15.04272715,12.14989501,51382.7,944.5,179.752,365.763,24.3,0.491443913135008,4700000,0.01,0.39,24.69,0.73,583371.81,4
33,12.8,9.448791504,0.808368623,22.97882462,7.406641361,581.8631592,572.3612879,-951.5856323,-928.1160278,-941.4440842,13.45435407,1,16.1073253,14.78083969,78439.6,1282.4,313.107,374.268,179.7,0.836585013947225,93894.98,0.84,0.43,23.47,0.6,257415.48,4
34,0.61,0,0,5.926125526,1.964684929,469.6968079,469.0370379,-838.5048218,-836.3712158,-837.9800925,5.021235919,1,76.57384776,5.021235918,11841,426,98.261,161.036,78.3,0.610180332348046,12239.15,0.97,0.26,2.13,0.82,163245.93,4
35,0.61,0,0,1.999791503,0.936484323,475.183197,474.8529867,-844.2960205,-843.0767822,-843.7964715,24.75640455,0,71.51850201,0,5403.7,371.3,58.566,146.289,134,0.400344523511679,6462.8,0.84,0.45,1.22,0.49,167979.47,4
36,1.83,1.523986816,0.285818309,8.119731903,3.581510404,288.3407898,285.2549909,-657.4536133,-644.0424194,-654.1787807,0,0,46.80338626,3.481243607,38428,893.4,186.577,316.245,71.8,0.589976126104761,43921.02,0.87,0.25,13.41,0.61,48512.26,4
37,17.98,3.657592773,0,8.187925339,3.912746022,334.6703796,326.1038745,-703.7832031,-679.0944214,-694.9967295,22.52445016,0,21.83492618,38.95810513,129342.6,1789.5,290.728,689.599,95.3,0.421589938500491,144716,0.89,0.36,24.69,0.51,68175.23,4
38,3.96,1.828796387,0.285761863,4.279168606,2.17316,341.6808167,340.1384744,-711.0983887,-706.8312378,-709.0464219,26.86693964,1,49.07328771,3.015676899,54218.5,994.8,201.938,380.854,33.8,0.530224180394587,58466.08,0.93,0.49,4.27,0.69,75701.18,4
39,8.84,6.705566406,0.285762399,24.08910561,9.781368901,512.3687744,504.899765,-882.0911865,-860.755188,-874.1964626,11.02213023,3,19.93363977,4.221241363,63382.9,1179.4,181.372,500.362,135.3,0.362481563348136,69687.26,0.91,0.37,21.34,0.57,193511.8,4
40,0.61,0,0.808384717,3.035417557,1.93777342,472.4399719,472.0648592,-841.5527954,-840.3336182,-841.0721623,0,0,103.8115357,0,3722.8,219.4,68.11,69.762,136.6,0.976319486253261,3723.11,1,0.43,1.22,0.97,165701.8,4
41,2.13,1.219238281,1.428716064,6.714574337,3.870495059,191.1095886,189.5554866,-560.8320313,-555.9552002,-558.6946426,26.23886856,0,17.49257905,19.99151891,11896.4,416.3,105.951,143.031,89.6,0.740755500555824,12173.77,0.98,0.45,4.88,0.86,15514.07,3
42,0.3,0,0.63910073,5.697538853,2.934486034,169.7735901,168.5946488,-538.8864136,-535.2288208,-537.6269497,0,0,30.61719341,59.32081222,7767.7,328.1,81.625,116.431,90,0.701058996315414,7849.13,0.99,0.35,3.66,0.91,10731.85,3
43,1.22,0,0,3.721393824,2.466446852,137.4647827,136.8312875,-506.5776062,-504.7488098,-505.9142187,0,0,51.43261851,34.28841233,7803.1,323.6,92.913,105.923,90.6,0.877174928957828,7909.56,0.99,0.38,1.83,0.94,5159.73,3
44,1.52,0.30480957,0,4.746021748,2.830338809,309.0671692,307.7315602,-678.1799927,-674.8272095,-676.7758762,0,0,33.74237884,6.748475765,13215.6,446.3,102.593,178.93,24.8,0.573369474096015,13448.79,0.98,0.43,3.35,0.84,58918.61,4
45,3.05,3.048034668,0,13.46831989,4.276430445,292.3031921,282.8959989,-661.4160156,-630.6312256,-651.8193793,2.883029208,2,47.42085974,21.17535246,149516.4,2176.1,299.603,759.838,159.9,0.394298521526957,185122.4,0.81,0.31,30.78,0.4,47478.67,4
46,0.91,0.609619141,0.285824001,4.241312027,2.140017179,338.632782,337.9367689,-707.7456055,-705.9168091,-706.9358466,12.11030385,1,77.20318706,3.027575965,9819.2,382.7,92.095,150.987,65.9,0.609953174776636,9939.07,0.99,0.47,1.83,0.84,74494.48,4
47,0.61,0.30480957,0.285824537,6.439972401,2.529604774,471.8304138,470.9557495,-840.6384277,-838.2000122,-839.8996018,33.14805347,0,25.66300915,4.277168193,13900.9,470.3,104.833,181.116,71.7,0.578816890832395,14438.9,0.96,0.32,2.44,0.79,164800.07,4
48,0.91,0,0,4.855619907,1.937727035,470.306366,469.6615,-839.4191895,-837.5903931,-838.5882241,1.04831607,0,92.25181423,4.193264282,14179.1,557.7,81.16,240.02,8.2,0.338138488459295,15211.11,0.93,0.48,1.83,0.57,163750.93,4
49,4.88,2.133605957,0.639100134,8.897986412,4.605917109,198.1199646,194.9794152,-567.8424072,-560.8320313,-564.1221405,12.21592927,1,11.2762424,5.168277767,31636.4,777.6,171.86,268.206,50.8,0.640776119848176,36429.79,0.87,0.54,7.01,0.66,16894.65,3
50,0.91,0.30480957,0.285825044,3.721302986,1.495938485,471.2207947,470.7552684,-840.3336182,-839.1143799,-839.6852051,48.66872484,1,26.20623646,0,7940.8,329.6,89.141,108.343,128,0.822766583904821,8087.99,0.98,0.58,1.22,0.92,164637.34,4
51,0.61,0.30480957,0.285825312,4.509960175,2.2304303,472.4399719,471.8673493,-841.5527954,-839.723999,-840.8554688,31.18028966,1,51.96714943,5.93910279,10011,389.1,92.614,153.448,90.2,0.603552995151452,10296.15,0.97,0.4,1.83,0.83,165541.04,4
52,2.74,1.219177246,1.030454278,7.237055302,3.822035217,287.7311707,285.8637253,-657.1488037,-651.9672241,-654.9151229,12.85287079,1,57.45989295,11.34076835,19660.2,576.4,105.763,227.927,90.1,0.464021375264887,20429.52,0.96,0.44,5.18,0.75,48780.79,4
53,10.67,2.743225098,0,27.71292686,8.463850587,563.8800049,555.4111039,-933.602417,-902.5128174,-924.4167699,27.56022808,0,16.60914407,16.06158987,81439.3,1417.5,178.664,630.557,127.7,0.283343139478271,88584.6,0.92,0.3,31.09,0.51,240503.05,4
54,1.22,0.30480957,0.808385432,19.80778313,10.1397598,792.78479,787.4542128,-1162.812012,-1146.352783,-1156.551189,0,0,1.505710476,28.60849904,19743.7,582.9,108.678,234.317,116.9,0.463807576915034,21009.86,0.94,0.38,16.46,0.73,521940.09,4
55,3.96,0,0,1.616297722,0.759701911,474.5735779,474.3241882,-843.3815918,-843.0767822,-843.2338053,99.95329752,0,0,0,4907.5,255.3,69.701,81.996,89.5,0.850053661154203,4912.42,1,0.72,0.3,0.95,167546.29,4
56,3.66,0,0,1.6164639,0.78441313,474.2687683,473.949827,-843.0767822,-842.4672241,-842.8216326,69.99818317,0,31.3784959,0,6158.2,294.4,81.35,92.404,4.4,0.880373144019739,6330.89,0.97,0.5,0.61,0.9,167239.96,4
57,0.91,0.609619141,0.639103591,9.49865818,3.258615794,367.8935852,366.4164816,-737.0064087,-732.7391968,-735.4062031,0,0,54.17783076,16.74587496,15089.7,494,107.131,204.085,55.2,0.524933238601563,15408.14,0.98,0.38,4.27,0.78,90851.9,4
58,3.66,0,0,1.829452038,0.689220343,474.2687683,474.1354408,-843.0767822,-842.7720337,-842.9625015,72.0379806,0,9.00474757,0,4952.1,294.4,66.295,108.902,18.8,0.608758333180291,5465.45,0.91,0.56,0.3,0.72,167391.81,4
59,1.22,0.30480957,0,3.484534979,1.547734953,506.2727966,505.9786821,-875.3856201,-874.1663818,-874.9685123,0,0,99.41817393,1.841077294,8073.6,338.3,82.544,124.185,72.2,0.664685751097153,8113.92,1,0.37,1.22,0.89,194462.2,4
60,0.61,0,0,3.088582516,1.121739766,192.0240173,191.9125016,-561.1367798,-560.5272217,-560.8691823,0,0,4.905408752,53.95949628,6060.3,314.2,65.736,116.992,108.4,0.561884573304158,6507.54,0.93,0.53,0.61,0.77,16106.78,3
61,2.13,0,0.404217243,3.964538097,1.698028694,472.4399719,471.5981712,-841.5527954,-839.723999,-840.5271355,0,0,102.4362181,0,9141.7,427.8,64.119,179.734,95.7,0.35674385480766,9747.4,0.94,0.59,1.83,0.63,165322.07,4
62,3.35,2.438415527,0,9.250658989,2.794744484,472.7447815,470.6050405,-842.1624146,-836.6760254,-839.5107821,19.30780574,1,33.8454477,1.817205246,65437.4,1466.8,177.68,645.715,102.1,0.27516783720372,79586.75,0.82,0.49,5.49,0.38,164515.45,4
63,5.79,3.047973633,0.28582558,10.71917057,4.576583419,194.4623718,190.8501288,-563.8800049,-553.2120361,-559.831762,4.120621412,1,29.16132076,25.35767023,46894.3,930.8,211.219,335.243,21.8,0.630047458112474,53395.85,0.88,0.38,10.67,0.68,15838.25,3
64,0.91,0,0.857422948,13.70283031,4.569549898,554.7359619,552.690446,-923.5440063,-916.5336304,-921.7219822,0,0,32.88634725,8.769692597,6779.8,317.1,73.335,120.428,120.5,0.608953067392965,6972.89,0.97,0.26,7.01,0.85,237841.97,4
65,0.3,0,0.571641564,4.703282833,2.614944027,170.3832092,169.5977502,-539.4960327,-537.6672363,-538.6988431,0,0,37.25935653,70.37878453,3590.4,221.7,56.449,81.143,89.7,0.695673070998114,3610.77,0.99,0.46,1.83,0.92,10940.69,3
66,0.61,0.30480957,0,6.007258892,2.889456991,189.8904114,188.965627,-559.0032349,-555.6503906,-557.8959778,3.457090166,1,81.58732794,1.382836067,21498.1,690.4,95.456,297.714,125.5,0.320629866247472,23049.68,0.93,0.34,3.35,0.57,15367.48,3
67,0.61,0.30480957,0,4.642621994,2.363606362,336.8039856,336.2814723,-706.2216187,-704.3928223,-705.3507443,2.430653877,0,82.64223185,4.861307756,6115.3,287.6,81.573,94.152,89.8,0.866396890135101,6157.78,0.99,0.5,1.83,0.93,73593.64,4
68,0.3,0.30480957,0.285824269,4.987217426,2.032234595,473.3544006,471.9290013,-842.1624146,-838.8096313,-840.8468336,0,0,78.51783769,7.407343178,20066.8,591.8,116.96,232.632,13.6,0.50276832078132,21584.59,0.93,0.4,3.35,0.72,165591.21,4
69,0.91,0,0.903799713,3.839540482,2.166957127,194.7671814,194.5551559,-564.489624,-562.9656372,-563.7474843,0,0,13.15092467,65.75462335,3390.8,222.1,51.028,85.311,161.5,0.598140919693826,3448.29,0.98,0.52,1.52,0.87,16784.54,3
70,1.22,1.219177246,0,20.5189209,5.642882894,321.5639954,312.7597713,-690.3720093,-663.244812,-681.6490276,6.837571729,1,47.08327901,3.058913668,247823.7,3098.6,324.53,1381.818,52.2,0.234857267744377,326666.87,0.76,0.32,27.13,0.33,61384.9,4
71,2.74,2.438415527,0.285824805,24.42120743,8.450055645,558.0887451,550.2196602,-927.5064087,-906.4752197,-919.3430714,9.925303219,1,26.7551652,6.041488915,34444.8,706.2,180.96,249.71,135.3,0.724680629530255,35680.15,0.97,0.39,21.03,0.87,235438.12,4
72,10.06,8.839172363,0.285827905,21.90893936,7.246435296,176.4792175,168.6656057,-547.4207764,-516.3311768,-537.6668341,7.776113225,5,38.38684465,8.640125805,120425.3,1885.7,262.772,789.886,168.3,0.332670790468498,148007.78,0.81,0.31,31.09,0.43,10746.56,3
73,1.83,0.914428711,0.285828412,4.839030743,2.390541682,468.7823792,467.7780542,-838.2000122,-834.847229,-836.7359689,39.63454676,0,33.16360035,1.617736602,18376.5,520.3,113.589,197.502,67.9,0.575128353130601,18730.68,0.98,0.45,3.35,0.86,162230.16,4
74,0.3,0,0.285771698,3.531018257,2.046308861,231.3431702,230.0013768,-600.1511841,-597.40802,-598.9320103,0,0,60.4430944,24.4097112,12787.8,418.7,118.071,141.903,90.1,0.832054290606964,13062.73,0.98,0.46,2.74,0.92,27225.45,3
75,1.83,0.30480957,0.285829186,10.28054237,4.037824428,193.5480042,189.7554305,-562.9656372,-551.9927979,-558.731769,0,0,13.18860856,32.97152139,29303.1,683.6,178.143,203.509,90,0.875356863824204,31195.97,0.94,0.39,10.97,0.79,15563.92,3
76,9.75,0.609558105,1.428860307,16.2005043,7.953054681,562.355957,558.9125845,-932.6879883,-921.71521,-928.4002182,51.84975956,0,23.19594507,9.551271499,10893.7,443.3,77.96,186.453,143.1,0.418121456881895,11335.45,0.96,0.39,10.97,0.7,243949.64,4
77,2.13,0.914367676,1.538749695,7.650280952,4.936926157,145.3896179,143.7828661,-515.1119995,-509.6256104,-513.0350141,0,0,21.83962415,8.735849657,10209.1,369.8,106.134,117.385,179.9,0.904153000809303,10232.04,1,0.39,5.49,0.94,6206.74,3
78,1.83,0.914428711,0,3.881744385,1.755754826,363.3216248,361.8487294,-732.1296387,-728.4719849,-730.7239209,0,0,43.13152743,25.02287087,45145.7,878.4,181.596,335.624,13,0.541069768550521,48686.95,0.93,0.4,3.66,0.74,88119.17,4
79,9.45,8.229614258,0,20.05059242,4.757751717,351.7391663,345.0543147,-721.1567993,-678.1799927,-713.9676586,14.89023878,4,43.06351597,4.537977534,314448,4483.6,456.979,1486.976,58.9,0.307321032753723,538221.3,0.58,0.17,42.98,0.2,78430.42,4
80,1.22,0,0.404220551,10.51729774,5.714880521,241.0967712,237.6383724,-610.8192139,-601.6752319,-606.6757402,0,0,0,0.999478042,14871.9,534.8,104.652,202.462,179.6,0.516896997955172,17036.11,0.87,0.46,9.14,0.66,29804.01,3
81,8.23,7.619995117,0.404212117,27.45966911,13.95273397,274.0151672,229.9780234,-647.0903931,-523.0368042,-599.133343,7.34588379,1,3.4892948,10.10059021,80938.6,1724.6,223.339,629.643,128.1,0.354707350038037,124029.09,0.65,0.39,124.05,0.34,27217.75,3
82,0.91,0.609619141,0.404220909,4.354526043,2.308158829,187.1471863,186.3783665,-556.5648193,-554.1264038,-555.427493,1.470222147,0,76.45155167,4.410666441,10110.1,367.8,98.018,130.502,115.4,0.751084274570505,10133.67,1,0.49,2.44,0.94,14732.71,3
83,5.18,1.219177246,0,3.230358601,1.709771405,365.4551697,364.2745363,-734.2631836,-731.8248291,-733.1596249,38.57896477,1,34.75926529,3.055759586,38914.4,826.1,157.749,317.952,11.6,0.496140926932367,41107.85,0.95,0.47,2.44,0.72,89565.25,4
84,8.23,6.096008301,0,21.52260971,7.08573122,358.4447937,306.4773686,-727.8624268,-622.4016113,-675.4070489,3.298168365,0,12.46939092,6.929046697,1027547.5,14248.8,842.024,4004.241,79.2,0.210283047398995,2200000,0.47,0.5,105.46,0.06,58311.32,4
85,0.61,0,0,10.55799961,2.878613793,476.7071838,475.4802829,-845.5151978,-840.6384277,-844.3886108,2.634400905,0,43.46761493,28.97840996,11284.6,505.5,97.766,198.256,9.4,0.493130094423372,13456.28,0.84,0.24,4.88,0.56,168494.06,4
86,3.05,0.609619141,0.639114022,5.697640419,2.670596938,257.2511902,256.3411499,-626.3640137,-623.9255981,-625.3712324,0,0,5.692898527,68.31478233,10444,388.4,108.817,128.701,71.6,0.845502365948983,10791.43,0.97,0.42,2.44,0.87,36611.44,4
87,0.91,0.30480957,0.285830498,5.619287491,2.20655899,467.5632019,466.8695093,-836.6760254,-833.9328003,-835.7931392,33.80924814,0,52.46262642,3.497508428,12749.8,444.3,93.758,165.374,89.9,0.566945227182024,12986.46,0.98,0.33,2.74,0.81,161499.1,4
88,4.57,0.914367676,0,3.230393648,1.647976625,363.9311829,361.558111,-732.7391968,-726.6431885,-730.4410186,23.235641,1,62.53542885,4.876616011,51816.8,1152.3,159.344,471.671,8.5,0.337828698393584,61697.73,0.84,0.38,6.1,0.49,87946.71,4
89,0.91,0.30480957,0,5.532461643,2.479104238,467.8680115,467.1195468,-836.980835,-834.5424194,-836.1206028,40.17220845,0,37.94041908,2.231789358,13320.4,451,100.568,174.675,113.7,0.575743523686847,13703.44,0.97,0.37,2.44,0.82,161700.13,4
90,3.66,2.743225098,0,12.95067883,3.782926509,168.8592224,166.8359776,-538.8864136,-531.571228,-535.8812408,5.958108652,1,55.24791658,4.874816169,27442.5,661.4,171.53,222.575,114.2,0.770661574750084,29217.38,0.94,0.42,7.32,0.79,10370.57,3
91,10.97,7.924804688,0,12.12924194,4.615286335,182.5751648,172.8595686,-551.9927979,-531.571228,-541.7998391,3.152771307,6,38.64862757,3.478920063,273448.4,3888.4,457.192,1563.31,84.7,0.292451273259942,536428.56,0.51,0.5,20.42,0.23,11633.69,3
92,2.44,0,0,4.035467625,1.863682862,361.7975769,360.734177,-730.6055908,-727.8624268,-729.6573378,25.92886292,0,57.49443518,11.27341866,13185.1,432.3,111.522,163.101,46.9,0.683760369341696,13441.34,0.98,0.36,2.74,0.89,87458.7,4
93,3.05,1.523986816,0.808325052,24.17881584,11.63259303,225.5519714,220.0188919,-595.2744141,-575.1575928,-589.1956157,0,0,7.248333514,40.26851953,18456.3,536,110.695,217.407,21.4,0.509160238630771,18898.73,0.98,0.3,20.12,0.81,24030.86,3
94,13.72,0.30480957,0,18.74573135,8.849315988,330.0984192,309.4644342,-699.5159912,-633.0695801,-678.3727983,4.670976677,0,5.632648346,18.68390671,108196,1925.3,363.79,506.778,163.3,0.717848841109914,137008.6,0.79,0.32,66.45,0.37,59762.86,4
95,2.74,1.219177246,0,3.974700689,2.107833826,478.5359802,477.176703,-847.6488037,-844.6008301,-846.1134518,39.46055882,0,47.47598483,4.932569853,24107.7,595.5,161.983,204.838,148.9,0.790785889336939,25162.73,0.96,0.52,3.05,0.86,169889.63,4
96,1.52,0,0.404224932,11.20193863,2.909477662,342.8999939,342.0649167,-712.0128174,-708.3552246,-711.0065425,4.182492009,0,89.22649618,2.788328006,10661.7,435.3,79.168,174.771,68.4,0.452981329854495,11410.99,0.93,0.28,3.66,0.71,76764.97,4
97,0.3,0,0,2.940139532,1.290165231,417.5760193,417.5655086,-786.6887817,-786.3840332,-786.5311532,0,0,101.0950964,0,4263.9,251.4,54.722,97.167,19.3,0.563174740395402,4337.3,0.98,0.77,0.3,0.85,124302.44,4
98,13.11,1.219238281,0.285827905,14.98757553,4.839259615,329.7936096,318.0057648,-698.9064331,-668.4263916,-686.8985643,9.28395888,0,61.1942666,6.289133435,148898.3,1980.6,352.24,636.662,70.1,0.553260599815915,167132.77,0.89,0.4,30.48,0.48,64011.92,4
99,2.13,2.133605957,0,17.79162025,6.734303287,166.4208069,152.9606014,-536.447998,-495.9096069,-521.9252009,2.859804794,2,34.01124987,13.379801,145533,1948.2,228.476,826.532,161.5,0.276427288961589,164546.41,0.88,0.36,40.54,0.48,7737.07,3
100,2.44,0.914428711,0.571652472,10.75572014,4.036053478,818.9976807,817.8146062,-1189.939209,-1184.757568,-1187.103031,13.39707653,1,61.96147898,18.42098024,8876.1,455.4,70.949,187.989,134.6,0.377410380394598,10349.31,0.86,0.56,5.18,0.54,566729.83,4
